,Borough,census_decade,population
0,BRONX,1950,1451277
1,BROOKLYN,1950,2738175
2,MANHATTAN,1950,1960101
3,QUEENS,1950,1550849
4,STATEN ISLAND,1950,191555
5,BRONX,1960,1424815
6,BROOKLYN,1960,2627319
7,MANHATTAN,1960,1698281
8,QUEENS,1960,1809578
9,STATEN ISLAND,1960,221991
10,BRONX,1970,1471701
11,BROOKLYN,1970,2602012
12,MANHATTAN,1970,1539233
13,QUEENS,1970,1986473
14,STATEN ISLAND,1970,295443
15,BRONX,1980,1168972
16,BROOKLYN,1980,2230936
17,MANHATTAN,1980,1428285
18,QUEENS,1980,1891325
19,STATEN ISLAND,1980,352121
20,BRONX,1990,1203789
21,BROOKLYN,1990,2300664
22,MANHATTAN,1990,1487536
23,QUEENS,1990,1951598
24,STATEN ISLAND,1990,378977
25,BRONX,2000,1332650
26,BROOKLYN,2000,2465326
27,MANHATTAN,2000,1537195
28,QUEENS,2000,2229379
29,STATEN ISLAND,2000,443728
30,BRONX,2010,1385108
31,BROOKLYN,2010,2552911
32,MANHATTAN,2010,1585873
33,QUEENS,2010,2250002
34,STATEN ISLAND,2010,468730
35,BRONX,2020,1446788
36,BROOKLYN,2020,2648452
37,MANHATTAN,2020,1638281
38,QUEENS,2020,2330295
39,STATEN ISLAND,2020,487155
40,BRONX,2030,1518998
41,BROOKLYN,2030,2754009
42,MANHATTAN,2030,1676720
43,QUEENS,2030,2373551
44,STATEN ISLAND,2030,497749
45,BRONX,2040,1579245
46,BROOKLYN,2040,2840525
47,MANHATTAN,2040,1691617
48,QUEENS,2040,2412649
49,STATEN ISLAND,2040,501109
